Line_type,Wavelength,Ionisation_State
S,232.25799999999998,1
P,233.477,2
S,236.192,1
S,238.289,1
S,238.34,1
P,241.584,2
S,242.952,1
S,244.03400000000002,1
P,246.103,2
P,249.079,2
S,250.96999999999997,1
S,251.575,1
P,252.052,2
S,254.57,1
S,255.536,1
S,262.588,1
S,265.26599999999996,1
S,270.373,1
P,271.527,2
S,271.854,1
S,272.894,1
S,282.668,1
S,286.294,1
S,290.721,1
P,291.015,2
S,292.402,1
S,296.866,1
S,297.768,1
S,298.62,1
S,308.396,1
S,312.37,1
S,319.119,1
S,319.713,1
S,326.31399999999996,1
S,327.161,1
S,328.055,1
S,328.357,1
S,328.914,1
S,329.428,1
S,330.046,1
P,332.309,1
S,333.854,1
S,336.08000000000004,1
S,336.838,1
S,337.225,1
P,339.682,1
S,339.96999999999997,1
S,340.65500000000003,1
S,341.227,1
S,342.12199999999996,1
P,343.489,1
S,344.053,1
S,345.522,1
S,345.707,1
S,345.793,1
S,346.204,1
S,346.962,1
S,347.066,1
S,347.478,1
S,347.89099999999996,1
S,349.873,1
P,350.252,1
P,350.732,1
P,352.802,1
S,353.81399999999996,1
S,354.191,1
S,354.395,1
S,354.954,1
S,356.413,1
S,357.018,1
S,358.31,1
S,359.619,1
S,359.71500000000003,1
S,360.586,1
S,361.24699999999996,1
S,361.478,1
S,362.046,1
S,362.659,1
S,363.951,1
S,365.48699999999997,1
P,365.799,1
S,366.18600000000004,1
S,366.62199999999996,1
S,366.691,1
S,368.104,1
S,369.07,1
P,369.236,1
S,369.552,1
S,369.826,1
S,369.86,1
P,370.091,1
S,371.302,1
S,373.528,1
S,373.727,1
S,374.41700000000003,1
S,374.822,1
S,375.412,1
S,375.427,1
S,375.558,1
S,376.04,1
S,376.508,1
S,376.99699999999996,1
S,377.813,1
S,378.847,1
S,379.21799999999996,1
S,379.322,1
S,379.931,1
S,380.592,1
S,380.67600000000004,1
S,381.50100000000003,1
S,381.647,1
S,381.819,1
S,382.226,1
S,382.848,1
S,383.389,1
S,385.652,1
S,387.00100000000003,1
S,387.73400000000004,1
S,392.219,1
S,393.423,1
S,394.272,1
S,395.886,1
S,397.531,1
S,398.44,1
S,399.56100000000004,1
S,399.615,1
S,408.278,1
S,412.168,1
S,412.887,1
S,413.52700000000004,1
S,415.437,1
S,419.65,1
S,421.11400000000003,1
S,428.871,1
P,437.48,1
S,467.503,1
S,535.4399999999999,1
S,559.942,1
S,598.36,1
