Line_type,Wavelength,Ionisation_State
S,207.64299999999997,1
S,208.37800000000001,1
S,209.022,1
S,225.55300000000003,1
S,227.20909999999998,1
S,227.95819999999998,1
S,231.7784,1
P,235.79160000000002,2
P,240.272,2
S,245.5531,2
P,245.6438,2
P,245.657,2
P,247.89299999999997,2
S,249.842,2
S,249.85700000000003,2
P,250.70100000000002,2
S,254.956,1
S,260.9062,1
S,261.206,1
S,264.2946,1
S,265.9617,1
P,266.161,2
P,267.87600000000003,2
S,269.206,2
P,271.241,2
S,271.951,1
P,273.435,2
S,273.5727,1
S,281.0551,1
S,282.9149,1
S,285.40749999999997,1
S,286.1408,1
S,286.6653,1
S,287.4984,1
S,288.65279999999996,1
S,290.88829999999996,1
S,291.62510000000003,1
S,294.567,2
S,294.9492,1
S,296.51660000000004,1
S,296.555,2
P,297.6584,2
S,297.6923,1
S,298.8945,1
S,299.49670000000003,1
S,300.65880000000004,1
S,306.48339999999996,1
S,309.6565,1
S,309.9284,1
S,310.0836,1
S,329.41089999999997,1
S,330.1593,1
S,333.9555,1
S,336.8455,1
S,339.25329999999997,1
S,341.7332,1
S,342.8319,1
S,343.07640000000004,1
P,343.6737,1
P,349.8944,1
S,351.4491,1
S,353.9368,1
S,357.0606,1
S,358.72040000000004,1
P,358.92199999999997,1
P,359.3029,1
P,359.6185,1
S,359.9769,1
S,362.674,1
S,363.4931,1
S,366.1364,1
S,366.3378,1
S,366.95459999999997,1
S,371.6998,1
S,372.6096,1
P,372.69259999999997,1
P,372.8026,1
P,373.04319999999996,1
S,373.947,1
S,374.2287,1
S,374.27979999999997,1
S,374.43960000000004,1
S,374.55920000000003,1
S,375.3546,1
S,375.5937,1
S,375.98380000000003,1
S,376.0019,1
S,376.1511,1
S,376.7353,1
S,377.7588,1
S,378.1171,1
S,378.2749,1
S,378.6065,1
S,379.0521,1
S,379.8054,1
P,379.8899,1
P,379.9353,1
S,381.2739,1
S,381.7293,1
S,381.9039,1
S,382.2091,1
S,382.4938,1
S,383.1795,1
S,383.9699,1
S,384.6672,1
S,385.04409999999996,1
S,385.6458,1
S,385.75509999999997,1
S,386.269,1
S,386.7844,1
S,389.223,1
S,390.9085,1
S,392.3486,1
S,392.59299999999996,1
S,393.1787,1
S,394.55859999999996,1
S,395.023,1
S,397.8449,1
S,397.942,1
S,398.4862,1
S,402.21680000000003,1
S,402.3832,1
S,405.1402,1
S,405.40500000000003,1
S,406.4456,1
S,406.8367,1
S,407.673,1
S,408.0599,1
S,409.7787,1
S,411.2741,1
S,414.416,1
S,414.57370000000003,1
S,416.7514,1
S,419.7572,1
S,419.8864,1
P,419.9892,1
S,420.60200000000003,1
S,421.20619999999997,1
S,421.44449999999995,1
S,421.7263,1
S,422.0675,1
S,423.03090000000003,1
S,424.1058,1
S,424.3058,1
S,424.67359999999996,1
S,428.433,1
S,429.59319999999997,1
S,429.77139999999997,1
S,430.7604,1
S,431.84409999999997,1
S,431.9871,1
S,434.20730000000003,1
S,435.413,1
S,436.12039999999996,1
S,437.21999999999997,1
S,438.5393,1
S,438.56499999999994,1
S,439.044,1
S,441.00280000000004,1
S,443.9745,1
S,444.9322,1
S,446.0031,1
S,455.45140000000004,1
S,458.44399999999996,1
S,464.7594,1
S,470.9482,1
S,475.7844,1
S,486.9163,1
S,490.3066,1
S,505.73400000000004,1
S,513.6558,1
S,515.514,1
S,517.1025999999999,1
S,563.6233,1
