Line_type,Wavelength,Ionisation_State
S,203.97920000000002,1
S,204.95770000000002,1
S,205.4734,2
S,206.83440000000002,1
S,209.8424,1
S,213.9698,1
S,214.48409999999998,1
S,217.0855,2
S,217.5818,1
S,217.919,1
S,220.843,1
S,226.24829999999997,1
S,230.6507,1
S,231.14629999999997,1
S,237.36309999999997,1
S,238.3616,1
S,244.5502,1
S,247.83160000000004,1
S,252.8509,1
S,259.8048,1
S,259.8084,1
S,261.23040000000003,1
S,267.063,1
S,276.99309999999997,1
S,287.7913,1
S,302.9809,1
S,323.2495,1
S,326.7491,1
S,471.168,2
P,556.812,2
S,563.9770000000001,2
P,600.557,2
S,607.967,2
P,613.0,2
S,951.868,1
S,994.914,1
S,1026.0849,1
S,1067.7246,1
S,1074.1898,1
S,1083.9571,1
S,1087.9698,1
S,1101.2728000000002,1
S,1126.6082000000001,1
S,1186.3229,1
