Line_type,Wavelength,Ionisation_State
S,255.23499999999999,2
S,256.0232,2
S,270.67379999999997,1
S,271.1341,1
S,296.5879,1
S,297.401,1
S,298.07550000000003,1
S,298.8965,1
S,301.5367,1
S,301.9349,1
S,303.0759,1
S,325.56759999999997,1
P,326.98969999999997,1
P,327.3628,1
P,335.3724,2
S,335.96680000000003,2
S,336.1257,2
S,336.19259999999997,2
S,336.8936,2
P,337.21500000000003,2
S,343.1351,1
S,343.5541,1
S,345.7442,1
S,353.5713,2
S,355.8534,2
S,356.77020000000005,2
P,357.25300000000004,2
P,357.634,2
P,358.0928,2
S,358.9633,2
S,359.04740000000004,2
P,361.3831,2
P,363.0742,2
P,364.2782,2
S,364.5308,2
S,365.1798,2
P,390.7484,1
P,391.1812,1
P,393.3375,1
P,399.6601,1
P,402.0387,1
P,402.3678,1
S,403.06219999999996,1
S,404.3803,1
S,404.7797,1
P,405.45439999999996,1
S,405.6593,1
P,408.2387,1
S,408.71500000000003,1
S,413.2984,1
S,414.0272,1
S,415.2341,1
S,416.51869999999997,1
S,423.8053,1
P,424.68199999999996,2
S,431.4082,2
S,432.0745,2
S,432.49979999999994,2
S,437.44620000000003,2
S,472.92089999999996,1
S,473.4109,1
S,473.7647,1
S,474.10240000000005,1
S,474.3821,1
S,477.9354,1
S,506.43059999999997,1
S,507.0257,1
S,507.582,1
S,508.1561,1
S,508.37209999999993,1
S,508.5549,1
S,508.71229999999997,1
S,508.99300000000005,1
S,509.67209999999994,1
S,509.92740000000003,1
S,510.1119,1
S,511.6648,1
S,521.0546999999999,1
S,521.9634,1
S,525.8363999999999,1
S,534.9341999999999,1
S,535.6097,1
S,537.5373,1
S,539.2058,1
S,544.6195,1
S,548.2012,1
S,548.4628,1
S,551.423,1
S,552.0519,1
S,552.6785,2
S,567.1828,1
S,568.6856,1
S,570.0186,1
S,571.1793,1
S,571.7314,1
S,621.066,1
S,623.98,1
S,625.89,1
S,630.5649999999999,1
S,2205.21,1
S,2206.54,1
