Line_type,Wavelength,Ionisation_State
P,203.98420000000002,1
P,206.2779,1
P,207.47840000000002,1
P,216.4188,1
P,241.3535,1
S,254.798,1
S,417.52799999999996,2
P,418.09,2
P,473.078,1
S,473.90299999999996,1
S,474.225,1
S,484.4941,2
P,522.7533000000001,2
S,530.5346999999999,2
P,605.5840000000001,2
S,644.429,2
S,706.2065,1
S,800.096,1
S,891.8860000000001,1
S,1030.7450000000001,1
P,1032.726,1
P,1038.636,1
S,1481.7930000000001,1
S,1491.7469999999998,1
S,1515.144,1
S,1547.1,1
S,1561.84,1
S,1665.944,1
S,1681.378,1
P,2144.2560000000003,1
S,2147.348,1
S,2438.599,1
S,2512.743,1
