Line_type,Wavelength,Ionisation_State
P,205.81323000000003,1
S,207.2016,2
S,207.2701,2
P,220.7978,1
P,221.08939999999998,1
P,221.17440000000002,1
P,221.6669,1
P,221.80569999999997,1
S,243.5154,1
P,250.6897,1
P,251.43159999999997,1
P,251.6112,1
P,251.92020000000002,1
P,252.41080000000002,1
P,252.8509,1
S,263.1282,1
P,288.15771,1
S,290.4283,2
S,290.5692,2
S,298.7645,1
S,305.3184,2
S,318.897,2
S,319.309,2
S,319.95140000000004,2
S,320.3872,2
S,321.002,2
S,333.3139,2
S,333.9819,2
P,385.6017,2
S,386.2595,2
S,390.5523,1
P,412.8067,2
P,413.0893,2
S,462.17209999999994,2
P,504.1026,2
P,505.5981,2
S,519.286,2
S,520.241,2
S,546.6432,2
S,546.6868000000001,2
S,549.645,2
S,557.6659999999999,2
S,563.948,2
S,566.066,2
P,566.9562,2
S,568.4484,1
S,568.8810000000001,2
S,570.137,2
S,570.8397,1
S,580.047,2
S,580.674,2
S,586.8399999999999,2
S,591.522,2
P,594.8545,1
S,595.7561,2
S,597.8929,2
S,615.5134,1
S,623.732,1
S,624.3813,1
S,624.4467999999999,1
S,625.4188,1
P,634.7103,2
P,637.1359,2
S,700.3567,1
S,700.5883,1
S,703.4903,1
S,716.5545,1
S,725.0625,1
S,727.5294,1
P,728.9173,1
P,740.5774,1
S,740.9082000000001,1
S,741.5946,1
P,742.3497,1
S,784.88,2
S,784.972,2
S,793.2349,1
S,794.4001000000001,1
S,855.67803,1
S,1058.514,1
S,1060.3427,1
S,1066.097,1
S,1082.7087999999999,1
S,1086.9539,1
P,1198.4200999999998,1
S,1199.1562,1
P,1203.1503,1
S,1210.3535,1
S,1227.0692,1
S,1588.8431,1
