Line_type,Wavelength,Ionisation_State
S,325.4377,2
S,330.6388,2
S,330.70169999999996,2
S,331.0661,2
S,332.1179,2
S,334.0579,2
S,336.5863,2
S,338.2399,2
S,340.8676,2
P,356.82710000000003,2
P,359.26030000000003,2
S,360.4285,2
P,360.9491,2
S,362.12289999999996,2
S,362.70140000000004,2
S,363.11260000000004,2
P,363.429,2
S,366.13649999999996,2
S,367.084,2
P,369.3989,2
S,370.8654,2
S,371.8877,2
S,372.1847,2
S,372.8469,2
S,373.12579999999997,2
S,373.598,2
S,373.71410000000003,2
P,373.9117,2
P,373.91970000000003,2
S,374.1288,2
S,374.3868,2
P,374.54650000000004,1
P,374.5605,2
S,375.5276,2
S,375.6411,1
S,375.7529,2
S,376.0694,2
S,376.437,2
S,377.3331,1
S,377.3422,2
S,377.81350000000003,2
S,378.8125,2
S,379.3971,2
S,379.773,2
S,380.0887,2
S,382.6202,2
S,383.1501,2
S,383.4476,1
S,384.35,2
S,385.3295,1
S,385.42089999999996,2
S,385.4556,1
S,385.5901,2
S,385.8737,1
S,387.1778,2
S,388.0766,2
P,388.5286,2
S,389.6977,2
S,390.3417,2
P,392.23969999999997,2
S,392.8279,2
S,394.18739999999997,2
S,394.81129999999996,2
S,395.18870000000004,1
S,396.298,2
S,396.303,2
S,397.0528,2
S,397.1397,2
S,397.4665,1
S,397.627,2
S,397.643,2
S,397.91999999999996,2
S,398.3138,2
S,398.66819999999996,2
S,399.0002,2
P,399.0025,1
S,399.3308,2
S,402.3231,2
S,403.511,2
S,404.2723,2
S,404.2905,2
S,404.716,2
S,406.45500000000004,2
S,406.457,2
S,406.6737,2
S,407.5845,2
S,409.2266,2
S,410.7277,2
S,410.7387,2
S,411.85510000000005,2
S,414.98310000000004,2
S,415.2209,2
S,416.94780000000003,2
S,418.8128,2
S,420.30510000000004,2
S,422.06589999999994,2
S,422.53280000000007,2
S,422.9704,2
S,423.67449999999997,2
P,425.6393,2
S,426.2677,2
S,427.9678,2
S,427.97470000000004,2
P,428.0789,2
S,428.22079999999994,1
S,428.28329999999994,1
P,429.6743,1
S,430.90119999999996,2
S,431.8936,2
S,431.953,1
S,432.9016,2
S,433.00159999999994,1
S,433.4153,2
P,433.6137,1
S,434.78010000000006,2
S,436.204,2
P,436.2912,1
S,437.8236,2
S,438.04229999999995,1
S,439.0858,2
S,439.7341,1
S,440.1174,1
S,440.30600000000004,2
S,440.313,1
S,441.1585,1
S,441.93320000000006,1
S,442.0526,2
S,442.11379999999997,2
P,442.4339,2
S,442.96639999999996,1
S,443.3885,2
S,443.43230000000005,2
S,444.1812,1
S,444.2276,1
S,444.5153,1
S,445.2727,2
S,445.4629,2
S,445.8517,2
P,446.7342,2
P,447.08860000000004,1
S,447.8657,2
S,449.9108,1
S,451.9633,2
S,453.3799,1
S,454.39480000000003,2
S,458.1581,1
S,458.1729,1
S,464.22349999999994,2
S,464.54049999999995,1
S,464.9491,1
S,466.3556,1
S,466.9396,2
S,467.0747,1
S,467.4599,2
S,468.87330000000003,1
P,471.6097,1
P,472.84229999999997,1
P,476.02700000000004,1
S,478.3103,1
S,478.58639999999997,1
P,484.1701,1
P,488.39709999999997,1
S,491.03999999999996,1
S,491.8986,1
S,504.4279,1
S,507.12,1
S,511.7162,1
S,512.2136,1
S,517.5418999999999,1
S,527.1403,1
