Line_type,Wavelength,Ionisation_State
P,209.15900000000002,1
P,215.08440000000002,2
P,219.9346,1
P,220.96599999999998,1
P,224.60569999999998,1
P,226.60160000000002,2
P,226.89299999999997,1
S,228.6681,1
S,231.723,1
S,233.4812,1
P,235.48499999999999,1
P,236.82260000000002,2
P,242.1694,1
P,242.9495,1
S,244.89079999999998,2
S,248.34099999999998,1
S,248.69670000000002,2
S,249.57240000000002,1
S,254.6549,1
S,257.1594,1
S,259.4421,1
P,266.12440000000004,1
P,270.6505,1
P,283.99760000000003,1
P,286.3315,1
S,291.3559,1
P,300.9133,1
S,303.27779999999996,1
P,303.4115,1
P,317.5035,1
P,326.23310000000004,1
P,328.31399999999996,2
P,335.1952,2
P,380.1011,1
P,452.4734,1
P,533.2339,2
P,556.191,2
P,558.8815,2
S,563.1676,1
P,579.886,2
S,605.4674,1
S,606.9117,1
S,614.9604,1
S,615.4446,1
P,645.3542,2
P,684.4186,2
S,719.0776,2
S,774.1425,2
S,811.403,1
S,842.2624,1
S,855.2531000000001,1
S,980.5183999999999,1
S,985.0381,1
S,1145.4406999999999,1
S,1161.6152,1
S,1173.9591,1
S,1193.282,1
S,1298.101,1
S,1345.92,1
