Line_type,Wavelength,Ionisation_State
P,215.28400000000002,2
P,216.596,2
P,338.071,2
P,346.446,2
S,403.038,1
P,407.771,2
S,416.18,2
P,421.552,2
P,430.54499999999996,2
P,460.733,1
S,472.22799999999995,1
S,474.192,1
S,478.43199999999996,1
P,481.188,1
S,483.20799999999997,1
P,487.24899999999997,1
S,487.63199999999995,1
P,496.226,1
P,496.794,1
S,522.22,1
S,522.511,1
S,522.927,1
S,523.855,1
P,525.6899999999999,1
S,545.0840000000001,1
P,548.0840000000001,1
S,550.417,1
S,552.183,1
S,553.481,1
S,554.005,1
P,640.847,1
P,650.4,1
S,655.0260000000001,1
S,661.726,1
P,679.105,1
P,687.838,1
P,689.259,1
P,707.01,1
S,730.941,1
S,868.891,2
S,1003.6659999999999,2
P,1032.731,2
S,1091.4879999999998,2
