Line_type,Wavelength,Ionisation_State
S,214.013,2
P,214.68699999999998,2
S,215.06199999999998,2
S,216.50100000000003,2
S,217.80300000000003,2
S,218.27100000000002,2
S,219.32,2
S,219.388,2
P,219.603,2
P,219.967,2
S,220.714,2
P,221.00300000000001,2
P,221.019,2
P,223.948,2
S,224.97899999999998,2
S,225.07600000000002,2
S,225.871,2
S,226.142,2
S,226.23000000000002,2
S,227.185,2
S,227.25900000000001,2
S,227.98499999999999,1
S,228.525,2
S,228.65900000000002,2
S,228.916,2
S,233.198,2
S,233.219,2
S,235.73000000000002,1
S,236.109,1
S,236.42399999999998,2
S,237.158,1
P,238.706,2
P,240.06300000000002,2
S,242.76399999999998,1
S,243.26999999999998,2
S,247.462,1
S,248.49499999999998,1
S,248.86999999999998,2
S,249.046,1
S,250.445,1
S,250.74499999999998,1
S,251.26500000000001,1
S,252.635,1
S,253.212,2
S,254.68,1
S,255.10700000000003,1
S,255.462,2
S,255.50500000000002,1
P,255.94299999999998,1
S,256.21,1
S,257.354,1
S,257.379,1
S,257.73699999999997,2
S,257.778,1
S,259.308,1
S,259.526,1
S,260.349,2
P,260.863,1
S,261.134,1
S,261.546,1
S,261.566,1
P,263.558,2
S,263.66700000000003,1
S,263.69,1
S,264.62199999999996,1
S,264.637,1
P,264.74699999999996,1
S,265.12199999999996,2
P,265.327,1
P,265.661,1
P,266.134,1
S,266.86199999999997,1
S,267.59000000000003,2
S,268.428,1
P,268.517,2
S,269.131,1
S,269.24,1
S,269.452,2
S,269.681,1
P,269.83000000000004,1
S,270.669,1
S,271.01300000000003,1
P,271.467,1
S,271.71799999999996,1
S,272.076,1
S,272.744,2
S,272.778,1
S,274.668,1
S,274.87800000000004,1
S,274.983,1
P,275.831,1
S,276.168,2
S,277.588,1
S,278.769,1
S,279.634,1
S,279.776,2
S,280.207,1
S,280.63,1
S,280.658,1
S,284.28200000000004,1
S,284.425,1
S,284.53499999999997,1
S,284.852,1
P,285.049,1
P,285.098,1
S,286.198,1
S,286.865,1
S,287.142,1
S,287.336,1
S,287.356,1
S,288.002,1
S,289.184,1
S,289.904,1
S,290.20500000000004,1
S,291.549,1
S,292.519,1
S,293.27,1
P,293.355,1
S,294.006,1
S,294.022,1
S,294.214,1
S,295.192,1
S,295.356,1
P,296.332,1
S,296.51300000000003,2
S,296.554,1
S,296.947,1
S,297.556,1
P,301.254,2
S,302.748,1
S,304.956,1
S,306.924,1
S,307.724,1
S,310.325,1
S,312.49699999999996,1
S,313.058,1
S,313.264,1
S,317.029,1
S,317.35900000000004,1
S,318.09499999999997,1
S,318.45500000000004,1
P,331.116,1
S,331.884,1
S,333.099,2
S,337.154,1
S,338.505,1
S,340.694,1
S,348.052,1
S,349.78499999999997,1
S,350.387,1
S,351.104,1
S,360.741,1
S,362.662,1
S,364.206,1
S,383.37399999999997,2
S,406.14,1
S,406.791,1
S,420.588,1
S,451.09799999999996,1
S,457.43100000000004,1
S,461.951,1
P,468.188,1
P,515.6560000000001,1
S,587.736,1
S,594.402,1
S,604.539,1
S,643.079,1
S,645.036,1
S,648.537,1
S,686.6229999999999,1
