Line_type,Wavelength,Ionisation_State
S,307.89050000000003,2
S,321.89250000000004,2
S,321.9982,2
S,328.50300000000004,2
S,329.3065,2
P,332.4413,2
P,350.9146,2
S,352.3679,2
S,354.027,2
P,356.1708,2
P,356.8513,2
S,356.897,2
S,357.92269999999996,2
S,360.041,2
P,365.0421,2
P,365.8891,2
P,367.6363,2
P,370.28560000000004,2
P,370.393,2
S,371.1768,2
S,375.5251,2
P,376.5136,2
P,377.6489,2
P,383.0261,1
S,384.2471,2
P,384.87399999999997,2
P,387.4172,2
P,389.91970000000003,2
P,390.1325,1
P,397.68449999999996,2
S,398.1875,2
S,400.54740000000004,2
P,403.2284,1
P,403.3027,2
P,406.1558,1
S,414.44120000000004,2
S,420.37489999999997,1
S,426.634,1
P,431.88469999999995,1
S,432.2224,1
P,432.6472,1
S,433.2117,1
P,433.64549999999997,1
S,433.7646,1
P,433.84350000000006,1
S,434.06090000000006,1
P,435.68370000000004,1
S,449.3077,1
S,457.86899999999997,2
S,464.198,2
P,464.53100000000006,2
S,470.241,2
P,475.253,2
S,478.678,1
S,522.812,1
P,535.488,1
S,679.458,2
S,821.257,1
