Line_type,Wavelength,Ionisation_State
S,249.677,2
P,254.323,2
P,260.99899999999997,2
S,261.423,1
S,261.587,1
S,263.491,2
P,264.701,2
S,265.235,2
S,270.79,2
S,270.87800000000004,1
S,272.669,1
S,278.20500000000004,1
S,279.57800000000003,2
S,280.281,1
S,281.161,2
S,282.135,2
S,285.911,1
S,288.773,1
S,289.634,1
S,291.315,1
S,292.82,1
S,309.90999999999997,1
S,312.264,1
S,313.123,1
P,317.33000000000004,1
P,318.23699999999997,1
P,318.31100000000004,1
P,319.52,2
P,321.202,2
P,323.702,2
P,346.62800000000004,1
S,347.559,1
S,348.623,1
S,350.07,1
S,350.27,1
S,352.58299999999997,1
S,353.868,1
S,354.177,1
S,354.972,1
S,355.06399999999996,1
S,356.03200000000004,1
S,356.885,1
S,358.006,1
S,358.12600000000003,1
S,358.20799999999997,1
S,358.26300000000003,1
S,358.794,1
S,359.566,1
S,360.732,1
S,360.827,1
S,362.736,1
S,363.515,1
P,363.607,1
S,363.822,1
S,363.938,1
S,364.804,1
S,365.147,1
S,365.85900000000004,1
S,367.915,1
S,368.474,1
S,370.383,1
S,371.226,1
P,371.886,1
S,372.367,1
S,372.44,1
S,372.635,1
S,374.615,1
S,374.684,1
S,375.213,1
S,375.437,1
S,375.854,1
S,376.181,1
S,376.877,1
S,377.103,1
S,377.937,1
S,378.068,1
S,379.777,1
S,383.28200000000004,1
S,383.756,1
S,384.131,1
S,384.597,1
S,386.82399999999996,1
S,388.072,1
S,389.983,1
S,394.65700000000004,1
S,394.709,1
P,398.49699999999996,1
S,399.451,1
S,401.2,1
S,401.722,1
S,402.076,1
P,403.163,1
S,403.925,1
S,404.911,1
S,408.871,1
P,409.567,1
S,411.02200000000005,1
S,411.508,1
S,411.927,1
S,412.422,1
S,412.82700000000006,1
S,413.985,1
S,414.495,1
S,414.508,1
S,416.561,1
S,416.968,1
S,417.02700000000004,1
S,417.253,1
S,417.628,1
S,418.651,1
P,423.81899999999996,1
P,426.22700000000003,1
S,426.26899999999995,1
S,427.497,2
S,427.89,1
P,429.706,1
S,442.959,1
S,448.15299999999996,1
S,448.706,1
S,451.59799999999996,1
S,452.284,1
S,453.953,1
S,455.285,1
S,455.70500000000004,1
S,456.454,1
S,457.84499999999997,1
S,459.33500000000004,1
S,461.686,1
S,463.05699999999996,1
S,463.75,1
S,464.83299999999997,1
S,466.021,1
S,466.93,1
S,470.692,1
S,471.77700000000004,1
S,471.928,1
S,474.061,1
S,475.27200000000005,1
S,477.154,1
S,482.07399999999996,1
S,483.437,1
S,483.53900000000004,1
P,485.35900000000004,1
S,486.67299999999994,1
S,489.192,1
S,490.851,1
S,490.957,1
S,497.634,1
S,509.628,1
S,516.181,1
S,517.481,1
S,527.551,1
S,528.507,1
S,532.02,1
S,558.902,1
S,562.045,1
S,564.213,1
S,564.4939999999999,1
S,572.5310000000001,1
S,592.447,1
S,593.193,1
S,608.5229999999999,1
S,612.068,1
S,613.08,1
S,619.266,1
S,624.418,1
S,645.5899999999999,1
S,646.193,1
S,745.249,1
S,754.0260000000001,1
S,779.304,1
S,781.772,1
