Line_type,Wavelength,Ionisation_State
P,200.2028,1
P,208.1172,1
P,214.28220000000002,1
P,214.72600000000003,1
S,215.9864,1
S,221.56300000000002,1
S,225.5507,1
P,225.9034,1
S,226.55360000000002,1
S,237.30599999999998,2
P,238.3277,1
P,238.5792,1
S,243.869,2
S,253.07379999999998,1
S,256.78200000000004,2
S,257.496,2
S,259.11199999999997,2
S,259.28499999999997,2
S,260.572,2
S,262.486,2
S,264.966,2
S,267.713,1
S,285.829,2
S,289.541,2
S,296.729,2
S,304.7,2
S,317.5147,1
S,340.679,2
P,352.111,2
S,361.178,2
P,400.652,2
S,416.97700000000003,2
S,426.111,2
S,436.4,2
S,447.863,2
S,455.77799999999996,2
S,464.11199999999997,2
P,465.437,2
S,468.691,2
S,469.63800000000003,2
S,470.65299999999996,2
S,476.605,2
S,478.48699999999997,2
S,482.71400000000006,2
S,483.128,2
S,484.28999999999996,2
S,486.512,2
S,486.62399999999997,2
S,557.635,2
P,564.926,2
S,566.62,2
P,570.812,2
S,575.585,2
S,597.4680000000001,2
S,875.8183000000001,1
P,972.2742000000001,1
S,986.892,1
S,995.6299999999999,1
P,1005.141,1
S,1009.101,1
S,1049.357,1
S,1091.834,1
P,1108.956,1
P,1148.723,1
S,1324.775,1
S,1451.351,1
S,1545.2450000000001,1
S,1554.623,1
S,1640.39,1
S,1730.354,1
S,1829.159,1
S,2104.373,1
