Line_type,Wavelength,Ionisation_State
S,256.5593,2
S,268.4288,2
S,269.2415,2
S,274.7156,2
S,275.2166,2
S,283.23154,2
P,283.72954,2
S,284.28127,2
S,284.80839000000003,1
S,287.04066,2
S,288.42897,2
S,288.50491,2
S,288.78175999999996,2
S,293.60846000000004,1
S,294.286,2
S,294.37288,1
S,298.82318,2
S,303.40654,2
S,304.90924,2
S,306.77294,2
S,307.2115,2
S,307.8828,2
S,308.0217,2
S,310.82968,2
S,311.6263,1
S,311.95261999999997,2
S,312.29634,2
S,312.43874,2
S,312.55071,2
S,313.62161000000003,1
S,313.93066,2
S,314.28355999999997,2
S,314.60434,2
S,315.43009,2
S,317.57257,2
P,318.01937,2
S,318.49492,2
S,318.82329,2
S,319.25856,1
S,319.56891,1
S,321.43800999999996,1
S,322.12912,2
S,322.90096,2
S,323.584,2
S,323.81156999999996,2
S,324.44488,1
S,325.19159,2
S,325.62738,2
S,325.73667,1
S,326.26684,2
S,327.20268,1
S,328.57525,1
S,328.77893,2
S,329.17394,2
S,329.25209,2
S,330.16511,1
P,330.42383,1
S,330.93654000000004,1
S,332.14508,2
S,332.47527,2
S,332.51207,2
S,333.04769999999996,1
S,333.46041,2
S,333.78703,2
P,334.87684,1
P,335.12286,2
S,335.41796,2
S,335.86019999999996,2
S,336.78189000000003,2
S,337.49749,1
S,337.85734,2
S,338.08595,1
S,338.55316,2
S,338.65006,2
S,338.79205,1
P,339.20349,2
S,339.67278,1
S,339.85448,1
S,340.55584,1
S,341.30129999999997,1
P,342.121,1
S,342.39897,1
P,343.39988,2
S,343.59771,2
S,343.89503,2
S,344.2579,1
S,345.17023,1
S,346.28505,2
S,346.82198,2
P,346.99208,2
S,347.12186,1
S,348.00525,1
S,348.65512,1
S,348.91841,1
S,349.68107,1
S,349.8621,1
S,350.37859,1
S,351.11574,1
S,351.8404,1
S,352.10595,1
S,352.66342,1
S,353.14504999999997,1
S,353.95871999999997,2
S,354.40179,1
S,354.95959,1
S,355.14018999999996,1
S,355.50135,1
S,355.945,2
S,356.33756,1
S,356.98204,1
S,357.65574000000004,1
S,358.31021999999996,1
S,358.97495,1
S,359.27794,1
S,359.81199000000004,1
S,360.10344,2
S,360.83779,1
P,360.94452,2
S,361.24275,1
S,361.51327000000003,2
S,361.71173,2
S,362.56280000000004,2
S,363.28303,1
S,363.59433,1
S,363.86444,1
S,364.2249,1
S,364.97348999999997,1
S,365.96294,1
S,366.32025,1
S,366.81398,1
S,366.99684,1
S,367.55675,2
S,368.24863,1
S,369.06237999999996,1
S,369.25664,1
S,369.81061,1
P,370.67672,1
S,371.13041,2
P,371.94347,1
S,372.18254,2
S,372.79027,1
P,374.1183,2
S,374.75390000000004,2
S,375.25689,2
S,375.76941,1
S,376.52401,1
S,377.0056,1
S,377.62711,1
S,378.56002,2
S,378.91679,1
S,379.53858,1
P,380.3075,1
S,381.30676,2
S,382.51331,1
P,382.83846,1
S,383.65851,1
S,383.97475,2
S,384.19601,2
S,384.68876,1
S,385.21353,1
S,385.45108,2
S,386.34059,2
S,386.96633,1
S,387.53731,1
S,387.96441,1
S,388.69159,1
P,389.54192,1
S,390.31024,1
S,391.19091,1
S,391.90234,1
S,392.50934,1
S,392.96693,2
S,393.29113,1
S,395.93,1
P,396.73921,1
S,397.21545000000003,1
S,398.00896,1
S,399.17309,1
S,399.45493999999997,2
S,400.82102,1
S,400.90573,1
P,401.24951999999996,1
P,401.91289,2
S,402.70091,1
S,403.08424,1
S,403.60479,1
S,404.82876,1
S,405.08872,1
S,405.92529,1
S,406.34071,1
S,406.92014,2
S,406.94612,1
S,407.5503,1
S,408.13678,1
S,408.54341,1
S,408.65205000000003,2
S,408.87264,1
S,409.4747,2
S,410.03414000000004,1
S,410.84198,2
P,411.27545,1
P,411.57588999999996,1
P,411.67137,2
S,412.74120000000005,1
S,413.10020999999995,1
S,413.27533000000005,2
S,413.40681000000006,1
S,414.9987,2
S,415.85352,1
S,416.57660999999996,1
S,417.80597,2
S,419.30164,1
S,420.88907,2
S,421.09232000000003,1
S,422.00651,1
S,422.73872,1
S,423.54636,1
S,425.35384999999997,1
S,425.62537000000003,1
S,426.03329999999994,1
S,427.33574,2
S,427.73139000000003,2
S,428.20412999999996,2
S,429.73066,1
S,429.98393,1
S,430.71762,1
S,431.52543,1
S,431.84156999999993,1
S,433.72774,1
S,434.90721999999994,1
S,435.44824,1
S,435.93719,1
S,436.59300999999994,1
S,437.41238999999996,1
P,438.18616000000003,2
P,439.11105,2
S,439.29740000000004,1
S,440.15811999999994,1
S,440.88828,1
S,445.80015000000003,1
S,448.21692999999993,1
S,449.89401,1
S,450.52167,1
S,451.05258999999995,2
S,452.11939,1
S,455.58127,1
S,457.09722,1
S,459.54206000000005,1
S,467.60555000000005,1
S,472.34381999999994,1
S,486.31724,2
S,491.98157000000003,2
S,501.7254,2
S,504.9796,2
P,506.79736999999994,1
S,515.86041,1
S,516.07309,1
S,519.91637,1
P,523.1159700000001,1
S,534.35812,1
S,558.70263,1
P,576.05508,1
P,616.98221,1
S,618.26217,1
P,645.72824,1
S,646.26131,1
S,653.13418,1
P,698.9655300000001,1
S,716.88952,1
S,720.80063,1
S,742.89405,1
S,764.73794,1
S,797.8973100000001,1
S,833.04494,1
P,896.7640299999999,1
S,904.8250099999999,1
S,1123.02547,1
S,1212.73016,1
S,1223.1944600000002,1
S,1264.65347,1
S,1542.978,1
S,1583.175,1
S,1730.766,1
S,1738.191,1
S,1748.104,1
S,1758.452,1
S,1881.188,GBCZ74
