Line_type,Wavelength,Ionisation_State
S,227.9967,1
S,230.5674,1
S,252.55859999999998,2
S,252.9871,1
S,254.1908,1
S,259.364,1
S,259.9904,1
S,260.51329999999996,1
S,261.1285,1
S,261.9933,1
S,264.1087,1
S,264.4253,1
S,264.6625,1
S,280.24940000000004,1
S,291.2083,1
S,292.83270000000005,1
S,294.8242,1
S,295.6123,1
S,296.72249999999997,1
S,306.62289999999996,2
S,307.2117,2
S,307.29859999999996,2
S,307.5231,2
P,307.8651,2
P,308.8042,2
S,311.9723,1
S,312.3073,1
S,316.1231,2
S,316.1798,2
S,316.2586,2
S,316.855,2
S,318.6451,1
S,319.0914,2
S,319.1993,1
S,319.9915,1
S,320.2559,2
S,320.3825,1
S,321.4237,1
S,321.7073,2
S,322.2839,2
S,322.8618,2
S,322.9194,2
S,322.943,2
P,323.4513,2
P,323.6581,2
P,323.9038,2
S,324.1994,2
S,324.8605,2
S,325.1909,2
S,325.2916,2
S,325.42510000000004,2
S,326.1585,2
S,328.76570000000004,2
S,329.2076,1
S,330.9497,1
S,331.4421,1
S,331.8021,2
S,332.16970000000003,2
S,332.2939,2
S,332.6765,2
S,332.9458,2
S,333.2112,2
S,333.5182,2
S,334.03409999999997,2
S,334.18739999999997,1
S,334.67449999999997,2
P,334.9029,2
P,334.94050000000004,2
S,335.4633,1
S,335.82710000000003,1
S,336.0989,1
P,336.1227,2
S,336.1266,1
S,337.0434,1
S,337.14520000000005,1
P,337.27979999999997,2
S,337.7486,1
S,337.7575,1
S,337.92109999999997,1
S,338.0277,2
P,338.3769,2
S,338.566,1
S,338.59409999999997,1
S,338.784,2
S,339.4578,2
S,344.4322,2
S,346.15070000000003,2
S,347.7187,2
S,348.0525,1
S,349.10720000000003,2
S,350.49,2
S,351.0862,2
S,354.70279999999997,1
S,359.8713,1
S,361.01529999999997,1
P,363.5462,1
P,364.2674,1
S,364.6196,1
P,365.3495,1
S,365.459,1
S,365.80949999999996,1
S,366.0629,1
S,366.8963,1
S,367.1671,1
P,368.52049999999997,2
S,368.9914,1
S,370.9957,1
S,371.7391,1
S,372.257,1
S,372.4569,1
S,372.9806,1
S,374.106,1
S,374.1644,2
P,375.2858,1
S,375.3633,1
P,375.93,2
P,376.1326,2
S,377.1651,1
S,378.6042,1
S,386.6439,1
S,387.52570000000003,1
S,388.2891,1
S,390.0559,2
S,390.0959,1
S,390.4784,1
S,391.3477,2
S,391.4334,1
S,392.1422,1
S,392.45259999999996,1
S,392.9874,1
S,394.77689999999996,1
P,394.867,1
P,395.6334,1
P,395.8201,1
S,396.2851,1
S,396.4269,1
P,398.1761,1
S,398.248,1
P,398.9758,1
P,399.8636,1
S,400.8927,1
S,400.9656,1
S,402.45709999999997,1
S,403.0511,1
S,405.5011,1
S,406.0262,1
S,406.42089999999996,1
S,406.5095,1
S,407.847,1
S,408.2455,1
S,411.27079999999995,1
S,418.61170000000004,1
S,426.31329999999997,1
S,427.4588,1
S,428.26980000000003,1
S,428.60029999999995,1
S,428.7402,1
S,428.907,1
S,429.0929,1
S,429.5748,1
S,429.8665,1
S,429.9202,1
S,429.9629,1
S,430.0554,1
S,430.1079,1
P,430.5907,1
S,431.48,1
S,431.86289999999997,1
S,432.5126,1
S,439.39219999999995,1
S,439.5004,2
S,441.7273,1
S,442.7098,1
S,444.9143,1
S,445.0894,1
S,445.33119999999997,1
S,445.36980000000005,1
S,445.5317,1
S,445.74260000000004,1
S,446.58050000000003,1
S,447.1236,1
S,448.12579999999997,1
S,448.90870000000007,1
S,449.6145,1
S,451.2733,1
S,451.8021,1
S,452.2796,1
S,452.7305,1
S,453.3239,1
S,453.47749999999996,1
S,453.5567,1
S,453.5918,1
S,453.60389999999995,1
S,454.4687,1
S,454.8763,1
S,455.24530000000004,1
S,455.54830000000004,1
S,461.7268,1
S,462.30969999999996,1
S,462.9336,1
S,463.936,1
S,463.966,1
S,463.99390000000005,1
S,465.6468,1
S,466.7584,1
S,468.1908,1
S,469.1331,1
S,469.87600000000003,1
S,475.81180000000006,1
S,475.92690000000005,1
S,482.041,1
S,484.08729999999997,1
S,485.601,1
S,486.8259,1
S,487.01270000000005,1
S,488.5081,1
S,489.99080000000004,1
S,491.3615,1
P,498.17299999999994,1
P,499.10659999999996,1
S,499.9501,1
S,500.09880000000004,1
P,500.7206,1
S,501.3281,1
P,501.41859999999997,1
S,501.42749999999995,1
S,501.616,1
S,502.0024,1
S,502.2866,1
S,502.48429999999996,1
S,502.55690000000004,1
S,503.5902,1
S,503.6463,1
S,503.83959999999996,1
S,503.9955,1
P,506.4651,1
S,511.3439,1
S,512.0415,1
S,514.5459,1
S,514.7477,1
S,515.2184,1
S,517.374,1
S,519.2969,1
P,521.0384,1
S,522.4304,1
S,522.4933,1
S,551.2523,1
S,551.4343,1
S,551.4531,1
S,564.4132,1
S,566.2147,1
S,586.6448,1
S,589.9291000000001,1
S,595.3156,1
S,596.5824,1
S,597.8538,1
S,599.9008,1
S,625.8099,1
S,625.8705,1
S,626.1096,1
S,720.9434,1
S,842.6504000000001,1
S,843.4959000000001,1
S,843.5647999999999,1
