Line_type,Wavelength,Ionisation_State
S,200.756,1
S,221.071,1
P,229.8058,2
S,231.598,1
P,237.969,1
P,253.07399999999998,2
P,258.014,1
S,270.923,1
P,276.787,1
S,282.616,1
P,291.832,1
S,292.152,1
P,309.15700000000004,2
S,318.55100000000004,2
S,318.656,2
S,318.774,2
P,322.975,1
S,329.101,2
S,336.915,2
P,351.924,1
P,352.943,1
P,377.572,1
S,427.49799999999993,2
S,430.68,2
S,473.70500000000004,2
S,498.13500000000005,2
P,507.854,2
P,515.214,2
P,535.046,1
S,538.485,2
P,594.948,2
S,913.0,2
S,913.05,1
P,1151.282,1
P,1301.3200000000002,1
