Line_type,Wavelength,Ionisation_State
S,248.013,2
S,250.908,2
S,255.27640000000002,1
S,256.165,2
S,259.6489,1
S,260.706,2
S,262.433,2
S,272.119,2
S,279.46,2
S,279.727,2
S,282.79200000000003,2
S,285.4166,1
S,286.923,2
S,289.094,2
S,292.674,2
S,293.599,2
S,297.3218,1
S,298.148,2
S,299.054,2
S,301.53000000000003,2
S,307.308,2
S,308.1121,1
S,309.86,2
P,313.12600000000003,2
S,313.389,2
S,315.104,2
S,315.73400000000004,2
S,317.2654,1
S,317.283,2
S,323.681,2
S,324.023,2
S,324.154,2
S,324.6963,1
S,325.805,2
S,326.664,2
S,326.74,2
S,326.899,2
S,327.681,2
S,328.34000000000003,2
S,328.56100000000004,2
S,329.1,2
S,330.246,2
S,330.98,2
S,334.9987,1
P,336.261,2
S,339.75,2
S,341.0048,1
S,341.259,1
S,341.65880000000004,1
P,342.508,2
S,342.563,2
S,342.9332,1
S,342.996,2
P,344.15,2
P,345.366,2
P,346.21999999999997,2
S,346.7513,1
S,347.6692,1
S,348.09749999999997,1
S,348.73789999999997,1
S,349.9948,1
S,351.7598,1
S,353.552,2
S,353.658,2
S,353.791,1
S,355.58180000000004,1
S,356.0916,1
S,356.3876,1
S,356.647,2
S,356.73560000000003,1
S,358.6067,1
S,360.877,2
S,363.8408,1
S,364.365,2
S,366.809,2
P,370.026,2
P,370.136,2
P,371.7914,1
S,372.506,2
S,373.412,2
P,374.40639999999996,1
S,375.1806,1
P,376.133,2
P,376.191,2
P,379.575,2
S,379.8541,1
S,380.7719,1
S,381.739,2
S,382.6386,1
S,383.82,2
S,384.0869,1
P,384.802,2
P,388.3132,1
S,388.344,2
P,388.7348,1
S,389.6617,1
S,390.079,2
P,391.6477,1
S,392.95799999999997,2
S,394.927,1
S,395.81,2
S,399.652,2
S,402.423,1
S,404.4474,1
P,409.4187,1
P,410.58410000000003,1
S,413.8334,1
P,418.76149999999996,1
S,419.992,2
P,420.3727,1
S,422.2671,1
P,424.215,2
S,427.1716,1
S,429.8365,1
P,435.9928,1
P,438.64340000000004,1
S,439.442,1
S,439.6495,1
S,448.12600000000003,2
S,451.95950000000005,1
S,452.25699999999995,2
S,459.9017,1
S,461.59399999999994,2
S,468.192,1
P,473.3335,1
S,495.71750000000003,1
S,500.97700000000003,2
S,503.422,2
S,506.08950000000004,1
P,530.7116,1
S,563.1406,1
P,567.5835,1
S,576.4287,1
S,597.1264,1
S,646.0261,1
S,755.833,1
