Line_type,Wavelength,Ionisation_State
S,263.5529,2
S,279.39340000000004,2
S,280.256,2
S,280.7119,2
S,281.7958,2
S,282.1121,2
S,282.8935,2
S,283.2061,2
S,286.5681,2
S,288.9624,2
S,290.6794,2
S,290.8272,2
S,293.14140000000003,2
S,294.1916,2
S,294.38960000000003,2
S,295.606,2
S,296.7936,2
S,297.10659999999996,2
S,302.221,2
S,303.19870000000003,2
S,305.0197,2
S,305.7939,2
S,306.2537,2
S,307.2783,2
S,309.3005,2
S,310.2422,2
S,311.16179999999997,2
S,312.4952,2
S,314.924,2
S,322.94989999999996,2
S,323.2156,2
S,329.1332,2
S,330.58912,2
S,335.78436999999997,1
S,339.03775,1
S,342.45565999999997,2
S,343.54913,1
S,345.99191,1
S,346.222,1
S,346.35479,1
S,346.63009999999997,1
S,347.34269,1
S,348.03634,1
S,348.24899999999997,2
P,348.93672000000004,1
S,349.39963,1
S,350.0076,1
S,350.40089,1
S,350.73442,1
S,351.36742,1
P,351.46107,1
S,353.35659,2
S,353.43346,1
S,354.25704,1
S,354.92017999999996,1
S,355.08223,2
S,355.53188,1
S,356.1411,1
P,356.18038,1
S,356.36559,1
P,356.65909,1
S,356.90781000000004,1
S,357.47602,1
S,357.79162,1
S,357.87211,2
P,358.48774,1
S,359.17443,1
S,360.52742,1
S,361.63305,1
S,362.00838,1
S,362.26986999999997,1
S,363.81986,1
S,364.42422,1
S,365.15366,1
S,365.20641,1
P,365.91548,1
P,367.00701,2
S,370.15161,2
S,371.35546,1
S,373.80405,2
S,374.64189999999996,2
S,374.86758,2
S,375.11746,1
S,375.8348,1
S,376.32642999999996,1
S,376.68863999999996,1
S,377.34339,1
P,378.28407000000004,2
S,379.31002,2
S,379.32638000000003,1
S,380.89207,1
P,381.19911,1
S,382.65084,2
P,383.14593,2
P,383.96255,1
S,385.42202000000003,1
P,385.46448,2
P,385.95716000000004,2
P,386.59176,2
P,387.10353,1
S,387.40387,2
S,387.80847,2
S,388.14546,2
P,389.03615,2
S,389.2681,2
S,389.41206,1
S,389.97775,2
S,390.6453,1
S,392.62078,1
S,392.67152999999996,1
P,393.20221000000004,2
P,394.38161,1
S,396.42064,1
S,396.65211,2
S,398.57923999999997,2
S,400.52094,1
S,401.77163,2
P,404.27496,1
S,404.76117,1
P,405.00412,2
S,406.2544,2
P,409.01319,2
S,411.60974,2
P,415.39709999999997,1
P,415.66483,1
P,417.15886,2
S,422.23677,1
P,424.16646000000003,2
P,434.16864999999996,2
P,435.57399999999996,1
P,436.2051,1
S,439.35857999999996,1
S,447.23297,2
P,454.36255,2
S,475.68059000000005,1
S,502.73841000000004,1
P,591.5385,1
S,682.6913,1
S,860.7950000000001,1
S,869.1281999999999,1
S,875.7760000000001,1
S,1015.7909999999999,1
S,1025.955,1
S,1055.493,1
S,1116.784,1
S,1138.413,1
S,1185.942,1
S,1190.883,1
S,1318.516,1
S,1396.1,58
