Line_type,Wavelength,Ionisation_State
S,250.77820000000003,1
S,251.9622,1
S,252.6221,1
S,253.0183,1
S,257.4018,1
P,268.79540000000003,2
P,270.0937,2
S,270.6174,2
S,271.56640000000004,2
S,286.4361,1
S,286.80949999999996,1
S,289.1644,2
S,289.2433,2
S,289.2652,2
P,289.3307,2
S,290.6454,2
S,290.7462,2
P,290.881,2
S,291.0016,2
S,291.0385,2
S,291.1058,2
S,291.4926,1
S,292.3619,1
P,292.4017,2
P,292.463,2
S,293.0805,2
S,294.1372,2
S,294.1499,2
S,294.2319,1
S,294.23879999999997,1
S,294.3189,1
S,294.4569,2
S,294.9629,1
S,295.20680000000004,2
S,296.2781,1
S,296.8374,2
S,297.754,1
S,304.31190000000004,1
S,304.35479999999995,1
S,304.4933,1
S,305.3653,1
S,305.6334,1
S,306.04560000000004,1
S,306.63739999999996,1
P,309.3102,2
P,310.2292,2
P,311.0709,2
P,311.8376,2
P,312.5282,2
S,313.0272,2
S,313.33389999999997,2
P,318.34119999999996,1
P,318.3992,1
P,318.5385,1
S,318.7717,2
S,318.8522,2
P,319.0686,2
S,319.8012,1
S,320.2389,1
S,320.5577,1
S,320.7408,1
S,321.2432,1
S,326.77020000000005,2
S,327.1124,2
P,327.613,2
S,351.7296,2
S,352.9733,1
S,353.3676,1
S,354.5195,2
S,355.68,2
S,358.9763,2
S,359.20210000000003,2
S,359.25300000000004,1
S,366.36039999999997,1
S,366.7741,1
S,367.3406,1
S,367.5699,1
S,368.0119,1
S,368.3118,1
S,368.7498,1
S,368.8069,1
S,369.0282,1
S,369.22220000000004,1
S,369.5342,1
S,369.5864,1
P,370.3574,1
S,370.4703,1
S,370.5038,1
S,377.8675,1
S,379.03249999999997,1
S,379.4962,1
S,379.9907,1
S,380.34749999999997,1
S,380.7502,1
S,380.8517,1
S,380.9596,1
S,381.3485,1
S,381.82399999999996,1
S,381.996,1
S,382.1483,1
S,382.2002,1
S,382.2886,1
S,382.3209,1
S,382.8555,1
S,383.4216,1
S,384.04290000000003,1
S,384.075,1
S,384.4434,1
S,384.7326,1
S,385.5363,1
P,385.5845,1
S,386.48560000000003,1
S,386.7601,1
S,387.5071,1
S,387.5898,1
S,387.6082,1
S,389.0179,1
S,389.2858,1
P,390.2256,1
S,390.98879999999997,1
S,392.2431,1
S,392.4651,1
S,393.0022,1
S,393.401,1
S,399.057,1
S,399.28020000000004,1
S,399.87260000000003,1
S,405.0955,1
S,405.1347,1
S,405.7064,1
S,406.39279999999997,1
S,407.1536,1
S,409.0571,1
S,409.26840000000004,1
S,409.54769999999996,1
S,409.97839999999997,1
S,410.2151,1
S,410.43819999999994,1
S,410.4767,1
S,410.5155,1
S,410.9778,1
P,411.178,1
S,411.35060000000004,1
P,411.51800000000003,1
S,411.6473,1
S,411.9446,1
S,412.35029999999995,1
P,412.80640000000005,1
P,413.1989,1
S,413.44849999999997,1
S,417.9408,1
S,420.9853,1
S,423.2458,1
S,426.86379999999997,1
S,427.15500000000003,1
S,427.69530000000003,1
S,428.40469999999993,1
S,429.18199999999996,1
S,433.0026,1
S,433.28249999999997,1
S,434.1008,1
S,435.2871,1
P,437.92299999999994,1
P,438.471,1
P,438.99799999999993,1
P,439.5223,1
S,440.0572,1
S,440.6638,1
S,440.76329999999996,1
P,440.81949999999995,1
P,440.8501,1
S,441.6469,1
S,442.15659999999997,1
S,442.60020000000003,1
S,442.8517,1
S,442.98,1
S,443.6133,1
S,443.783,1
S,444.168,1
S,444.4192,1
S,445.2006,1
S,445.747,1
S,445.97520000000003,1
S,446.0331,1
S,446.236,1
S,446.9705,1
S,448.88890000000004,1
S,454.53950000000003,1
S,456.07160000000005,1
S,457.7178,1
S,458.0403,1
S,458.637,1
S,459.41189999999995,1
S,461.9777,1
S,485.14889999999997,1
S,486.4733,1
S,487.54859999999996,1
S,488.1555,1
S,562.7631,1
S,567.0847,1
S,569.8529000000001,1
S,570.3586,1
S,570.6997,1
S,572.7046,1
S,573.1247999999999,1
S,573.7065,1
S,603.9728,1
S,608.144,1
P,609.0208,1
S,611.165,1
S,611.9528,1
S,613.5363,1
S,619.9191,1
S,621.637,1
S,623.0803,1
S,624.3109999999999,1
S,625.1823,1
