Line_type,Wavelength,Ionisation_State
P,200.1712,2
P,200.8095,2
P,200.9982,2
S,201.4238,2
P,202.6088,2
P,202.99949999999998,2
S,203.5043,2
S,204.96359999999999,2
S,206.5573,2
S,207.1208,2
S,207.55900000000003,2
P,207.9118,2
P,207.91199999999998,2
S,208.8204,2
S,208.91559999999998,2
S,209.048,1
P,209.47510000000003,2
S,209.8602,2
S,210.06750000000002,2
S,210.154,1
S,210.6187,2
S,211.0323,2
S,211.88739999999999,2
S,212.1576,2
S,215.3558,2
S,215.7796,2
S,216.6316,2
S,218.29000000000002,1
S,219.45279999999997,2
P,220.44830000000002,2
P,224.87579999999997,2
S,224.98000000000002,1
S,227.75799999999998,1
S,229.44899999999998,1
S,231.317,1
S,232.163,1
S,236.044,1
S,236.30700000000002,1
S,237.44699999999997,1
S,238.48200000000003,1
S,239.7107,2
S,239.773,1
S,239.798,1
S,240.558,1
S,241.56799999999998,1
S,242.421,1
S,243.108,1
S,243.398,1
S,243.596,1
S,244.406,1
S,245.1476,2
S,245.2,1
S,245.47199999999998,1
S,245.498,1
S,245.55100000000002,1
S,245.65300000000002,1
S,245.93,1
S,246.279,1
S,246.685,1
S,247.25100000000003,1
S,247.41500000000002,1
S,248.013,1
S,248.096,1
S,248.144,1
S,248.20999999999998,1
S,248.474,1
S,248.75,1
S,248.92310000000003,2
S,249.526,1
S,250.46999999999997,1
S,252.132,1
S,252.34099999999998,1
S,252.776,1
S,253.36399999999998,1
S,254.53400000000002,1
S,254.714,1
S,255.038,1
P,255.135,1
S,255.382,1
P,255.4853,2
P,255.50949999999997,2
S,256.197,1
S,257.1444,2
S,258.049,1
S,258.916,2
S,260.639,1
S,261.308,1
S,261.382,1
S,262.025,1
S,262.221,1
S,262.522,1
S,263.248,1
S,263.27,1
S,263.313,1
S,263.86199999999997,1
S,264.618,1
S,264.673,1
S,265.654,1
S,265.738,1
S,265.8032,2
S,266.284,1
S,267.147,1
S,267.728,1
S,267.88800000000003,1
P,268.142,1
S,269.567,1
S,269.771,2
S,269.959,1
S,270.00100000000003,1
S,270.658,1
S,270.85900000000004,1
S,270.88,1
S,271.55,1
S,271.89099999999996,1
P,272.435,1
S,272.50300000000004,1
S,274.884,1
S,276.23400000000004,1
P,276.4261,2
S,276.974,1
S,277.088,1
S,277.4,1
S,277.448,1
S,279.27,1
S,279.993,1
S,281.806,1
P,283.13800000000003,1
S,283.363,1
S,284.15700000000004,1
S,284.802,1
S,285.603,1
S,286.606,1
S,287.911,1
S,287.94,1
S,289.601,1
P,289.644,1
S,293.5,1
P,294.44,1
P,294.69899999999996,1
S,294.739,1
S,295.2268,2
S,296.452,1
S,297.711,1
S,297.971,1
S,299.361,1
S,301.647,1
S,301.744,1
S,304.173,1
S,304.644,1
S,304.969,1
S,320.725,1
P,321.556,1
S,330.082,1
S,331.13800000000003,1
S,332.62,1
S,333.169,1
S,337.375,1
S,349.524,1
S,354.522,1
P,361.752,1
S,364.1408,2
S,368.20799999999997,1
S,368.33000000000004,1
S,368.806,1
S,370.79200000000003,1
S,375.79200000000003,1
S,376.01300000000003,1
S,376.84499999999997,1
S,378.077,1
S,381.748,1
S,383.506,1
S,384.62199999999996,1
S,386.799,1
S,388.14099999999996,1
P,400.875,1
S,401.522,1
S,404.559,1
S,406.995,1
P,407.43600000000004,1
S,410.27,1
S,413.746,1
S,417.117,1
S,424.436,1
S,426.938,1
P,429.46099999999996,1
P,430.21099999999996,1
S,448.419,1
S,465.98699999999997,1
S,468.05100000000004,1
S,484.38100000000003,1
S,505.328,1
S,522.466,1
