Line_type,Wavelength,Ionisation_State
S,286.473,2
S,289.522,2
S,297.932,2
S,301.743,2
S,312.187,2
S,336.67199999999997,2
S,346.12600000000003,2
S,350.674,1
S,354.986,1
S,355.404,1
S,361.03200000000004,1
S,361.306,1
S,363.306,1
S,366.991,1
S,368.59000000000003,1
S,369.349,1
S,390.791,2
S,403.759,2
S,405.746,2
S,409.889,2
S,415.804,2
S,418.01000000000005,2
S,419.31499999999994,2
S,420.84799999999996,2
S,420.947,2
S,421.372,2
S,421.56000000000006,2
S,422.3,2
S,423.825,2
S,424.538,2
S,425.157,2
S,429.64,2
S,431.05100000000004,2
S,433.052,2
S,436.91999999999996,2
S,437.378,2
S,439.32,2
S,439.57700000000006,2
S,440.688,2
S,441.60699999999997,2
S,444.813,2
S,446.21899999999994,2
S,448.08599999999996,2
S,452.186,2
S,473.4152,1
S,479.26189999999997,1
S,480.70200000000006,1
S,482.971,1
S,484.329,1
P,484.433,2
S,491.651,1
S,492.3152,1
S,497.171,2
S,497.271,2
S,498.87700000000007,2
S,499.117,2
S,502.828,1
S,504.492,2
S,508.062,2
S,512.242,2
S,512.5699999999999,2
S,517.882,2
S,518.804,2
S,519.137,2
S,519.21,2
S,526.044,2
S,526.1949999999999,2
P,529.222,2
S,530.927,2
S,531.387,2
S,533.933,2
S,536.3199999999999,2
S,536.807,2
S,537.239,2
S,539.28,1
P,541.915,2
S,543.896,2
S,544.545,2
S,545.045,2
S,546.039,2
S,547.261,2
S,549.486,2
S,552.553,2
S,553.107,2
S,556.662,1
S,561.667,2
S,565.938,2
S,566.7560000000001,2
S,567.091,2
S,569.575,1
S,569.961,2
S,571.61,2
S,572.691,2
S,575.103,2
S,575.865,2
S,577.639,2
S,581.596,2
S,582.389,1
S,582.48,1
S,587.5020000000001,1
S,589.329,2
S,589.499,1
S,590.513,2
S,593.417,1
S,594.553,2
S,597.113,2
P,597.646,2
S,600.892,2
S,603.62,2
P,605.115,2
S,609.35,2
P,609.759,2
S,610.143,2
S,611.508,2
S,614.645,2
S,617.83,1
S,617.966,1
S,618.242,1
S,619.4069999999999,2
S,619.826,1
S,627.082,2
S,627.754,2
S,628.441,2
S,628.601,1
S,630.086,2
S,631.806,1
S,634.396,2
S,635.635,2
S,637.528,2
S,639.799,2
S,646.97,1
S,647.284,1
S,648.7760000000001,1
S,649.8720000000001,1
S,650.418,1
S,651.283,2
S,652.865,2
S,653.316,1
S,659.501,2
S,659.556,1
S,659.725,2
S,659.884,2
S,666.892,1
S,669.432,2
S,672.801,1
S,678.871,2
S,679.037,2
S,680.574,2
S,682.732,1
S,687.211,1
S,688.216,1
S,691.022,2
S,692.553,1
S,694.211,2
S,697.618,1
S,699.088,2
S,708.2149999999999,2
S,711.96,1
S,714.75,2
S,714.903,2
S,716.483,2
S,728.434,2
S,730.1800000000001,2
S,733.9300000000001,2
S,738.6,1
S,739.379,1
S,754.845,2
S,758.4680000000001,1
S,761.857,2
S,764.202,1
S,764.391,1
S,767.066,2
S,778.704,2
S,780.265,1
S,788.132,1
S,788.74,1
S,796.734,1
S,802.967,1
S,805.726,1
S,806.134,1
S,810.198,1
S,815.1800000000001,2
S,817.1020000000001,1
S,820.634,1
P,823.1635,1
S,826.652,1
P,828.0117,1
S,834.6823,1
S,834.7239999999999,2
S,840.9191000000001,1
S,851.519,2
S,857.601,1
S,860.423,2
S,864.854,1
S,869.22,1
S,869.686,1
S,871.619,2
S,873.939,1
S,875.82,1
P,881.9411,1
S,886.232,1
S,890.8729999999999,1
S,893.083,1
S,895.2252000000001,1
S,898.1049999999999,1
S,898.757,1
S,904.5450000000001,1
S,916.265,1
S,916.7520000000001,1
S,937.476,1
S,951.338,1
S,959.135,2
S,968.5319999999999,1
S,969.868,2
S,971.816,1
S,979.97,1
P,992.3190000000001,1
S,1083.837,1
S,1174.201,1
S,1223.524,1
S,1225.776,1
S,1259.02,1
P,1262.3399,1
S,1354.415,1
S,1365.706,1
S,1414.2440000000001,1
S,1424.096,1
S,1436.499,1
S,1466.081,1
P,1473.2816,1
S,1509.972,1
S,1541.839,1
S,1555.713,1
S,1597.9540000000002,1
S,1603.99,1
S,1605.328,1
S,1655.449,1
S,1672.815,1
S,1732.577,1
S,1878.813,1
S,2018.7189999999998,1
S,2026.2240000000002,1
S,2147.009,1
S,2319.333,1
S,2327.954,1
S,2482.471,1
S,2514.584,1
S,2626.9080000000004,1
S,2651.0860000000002,1
S,2838.154,1
S,2858.225,1
S,2938.441,1
S,2944.806,1
S,2964.958,1
S,2981.362,1
S,3025.314,1
S,3047.546,1
S,3050.412,1
S,3079.418,1
P,3106.923,1
S,3133.6009999999997,1
S,3160.791,1
S,3229.308,1
S,3273.926,1
S,3366.6690000000003,1
S,3401.4669999999996,1
S,3433.5269999999996,1
S,3474.4,1
P,3507.0260000000003,1
S,3524.692,1
S,3620.921,1
S,3623.174,1
S,3650.8360000000002,1
S,3678.8830000000003,1
S,3868.5980000000004,1
S,3873.782,1
S,3893.96,1
S,3995.514,1
