Line_type,Wavelength,Ionisation_State
S,224.30450000000002,2
S,242.2186,2
S,294.8406,1
S,296.4964,1
S,297.4588,1
S,298.42539999999997,1
S,304.5363,1
S,317.3045,2
S,319.56129999999996,2
S,320.02689999999996,2
S,320.332,2
S,321.668,2
P,324.2272,2
S,332.7876,2
S,348.5722,1
S,349.60790000000003,2
P,354.9002,2
S,355.269,1
S,355.8741,1
S,357.1431,1
S,357.6052,1
S,358.45140000000004,2
S,358.7743,1
S,359.2915,1
P,360.0731,2
S,360.1915,2
P,361.1043,2
S,362.094,1
S,362.87,2
P,363.3121,2
S,366.461,2
S,369.2523,1
P,371.02869999999996,2
S,374.75509999999997,2
P,377.433,2
S,377.6556,2
S,378.8693,2
S,381.8341,2
P,383.2889,2
S,395.0349,2
P,398.2592,2
S,403.9826,1
S,404.7628,1
P,407.7359,1
S,408.3705,1
P,410.23639999999995,1
S,410.6384,1
P,412.8299,1
P,414.2841,1
S,416.7513,1
S,417.4133,1
P,417.75280000000004,2
S,421.7799,1
S,422.0629,1
S,423.5929,1
S,425.1201,1
S,430.229,1
S,430.962,2
S,434.8783,1
P,437.4933,2
S,439.8008,2
S,447.572,1
S,447.6952,1
S,447.7442,1
S,448.746,1
S,450.5948,1
S,452.72389999999996,1
S,452.77830000000006,1
S,459.6528,1
S,464.36980000000005,1
S,465.8319,1
S,467.4848,1
S,469.68,1
S,472.8514,1
S,475.279,1
S,476.0978,1
S,478.6875,1
S,479.93010000000004,1
S,483.9866,1
S,484.56679999999994,1
S,485.2682,1
S,485.48609999999996,2
S,485.9841,1
P,488.3682,2
P,490.01180000000005,2
P,508.74179999999996,2
S,513.5199,1
S,520.0409,2
P,520.5722,2
S,524.08,1
S,543.8226,1
S,546.6466,1
S,550.3464,1
S,552.7561,1
S,557.7416000000001,1
S,558.1874,1
S,563.0138,1
S,570.6714,1
S,602.4271,1
S,619.172,1
S,622.2579,1
S,643.5022,1
S,668.7571,1
S,679.3704,1
S,947.6928,2
S,1032.9701,2
S,1060.5149999999999,2
S,1561.9966,1
S,1712.3808000000001,1
S,1736.672,1
P,1742.2838,1
S,1766.3292000000001,1
P,1790.3209,1
P,1804.9810000000002,1
S,1811.5295999999998,1
S,1818.1765,1
P,2126.0443999999998,1
P,2254.3828000000003,1
P,2399.045,1
S,2492.0894,1
