Line_type,Wavelength,Ionisation_State
P,211.667,2
P,212.67399999999998,2
S,216.16,2
P,218.571,2
P,222.446,2
S,232.081,2
S,239.07399999999998,2
P,246.45,1
S,251.20610000000002,2
S,253.86700000000002,2
S,261.701,2
S,264.4306,2
P,265.375,2
S,266.5038,2
P,267.1958,1
S,267.2656,2
S,271.8349,2
S,273.2742,2
S,274.8664,2
P,275.04769999999996,2
S,277.62800000000004,2
S,278.4656,2
S,279.8211,2
S,282.1152,2
S,282.4974,2
S,283.0989,2
S,284.71750000000003,2
S,284.84450000000004,2
S,285.11260000000004,2
S,285.93919999999997,2
S,285.9805,2
S,286.1212,2
S,286.134,2
S,286.706,2
S,288.804,2
P,289.1384,2
S,291.421,2
S,291.52750000000003,2
S,291.9346,2
S,294.5907,2
S,296.4755,2
P,297.0564,2
S,298.399,2
S,299.4805,2
S,300.5766,2
S,300.93919999999997,2
S,301.756,2
S,302.6669,2
S,303.111,2
S,306.504,2
S,308.9102,2
S,310.7902,2
S,311.7806,2
S,314.09360000000004,2
S,316.9056,2
S,318.0919,2
S,319.2885,2
S,320.116,2
S,326.1508,2
P,328.937,2
S,330.5252,1
S,330.5733,2
S,331.9412,1
S,333.71709999999996,2
S,334.293,2
S,334.3071,2
S,335.2491,2
S,336.2438,2
S,337.54830000000004,2
S,338.7505,1
S,341.839,1
S,342.6044,1
S,343.1107,1
S,343.8848,2
S,345.2398,1
S,345.408,2
S,345.8286,2
S,345.83910000000003,1
S,346.02689999999996,1
P,346.437,1
S,347.6303,2
S,347.8835,2
S,349.59000000000003,2
S,352.02930000000003,2
S,354.98220000000003,2
S,356.03270000000003,2
S,356.0704,2
S,358.5466,2
S,360.6478,2
S,361.9803,2
S,363.4525,1
S,363.77570000000003,2
S,364.815,1
S,365.5729,1
S,366.969,2
S,367.5085,2
P,369.419,2
S,370.058,1
S,373.4694,1
S,377.0095,1
S,377.4323,1
S,383.9907,1
S,387.2852,1
S,390.085,1
S,391.1272,1
P,398.799,1
P,399.0885,1
S,405.2283,1
S,408.96799999999996,1
S,411.9464,2
S,414.90659999999997,1
S,417.456,1
S,418.08090000000004,2
S,421.8565,2
S,423.19719999999995,1
S,427.77380000000005,1
S,430.5966,1
S,443.919,1
S,448.24219999999997,1
S,456.395,1
P,457.6209,1
S,458.23549999999994,1
S,458.9211,1
S,459.0834,1
S,472.608,2
S,478.18670000000003,1
S,478.66099999999994,2
P,493.55,1
S,496.6902,1
S,506.9144,1
S,507.434,1
S,521.1604,1
S,524.411,1
S,527.704,1
S,533.515,2
S,535.295,2
S,553.9053,1
P,555.6466,1
S,571.999,1
S,648.9060000000001,1
S,666.7819999999999,1
P,679.96,1
P,769.949,1
S,892.256,2
