Line_type,Wavelength,Ionisation_State
S,202.54845,2
S,206.20011,2
S,206.42266,2
S,209.99273,2
S,210.21661,2
S,213.85735,1
S,250.19944999999998,2
S,255.7946,2
S,260.85576000000003,1
S,277.08538,1
S,277.0974,1
S,280.08635,1
S,280.105,1
S,307.58971,1
S,319.631,2
S,328.23256000000003,1
S,330.25829,1
S,330.29395,1
S,334.50133999999997,1
S,334.55694,1
S,334.59353,1
S,468.01359,1
S,472.21569,1
S,481.05321000000004,1
S,491.16269,2
S,492.40132000000006,2
S,589.43607,2
S,621.45778,2
S,636.23458,1
S,747.8769100000001,2
S,758.8464799999999,2
S,773.2488599999999,2
