Line_type,Wavelength,Ionisation_State
P,256.88710000000003,2
P,257.1457,2
P,267.8632,2
S,270.0129,2
P,272.2609,2
S,273.2721,2
P,273.4851,2
S,274.2553,2
S,274.5854,2
S,275.22020000000003,2
S,275.8806,2
S,281.4902,1
S,282.5557,2
S,283.7226,1
S,284.4575,2
S,284.8186,2
S,287.598,1
S,296.0867,1
S,298.5388,1
S,301.1743,1
S,302.8038,2
S,302.9515,1
S,305.4833,2
S,310.6576,2
S,312.07460000000003,1
S,312.91729999999995,2
S,312.976,2
S,313.206,1
S,313.8678,2
S,316.4313,2
S,316.5977,2
S,318.286,2
S,319.1215,1
S,321.2016,1
S,321.4189,2
S,323.1692,2
S,323.4123,1
S,324.1044,2
S,325.0393,1
S,326.0111,1
S,327.22220000000004,2
S,327.3047,2
P,327.9264,2
S,328.2732,1
S,328.4712,2
S,330.5152,2
S,330.6277,2
S,334.0553,2
S,335.6087,2
S,335.7261,2
S,338.7869,2
S,338.8295,2
P,339.1972,2
S,339.31190000000004,2
S,340.4827,2
S,341.0243,2
S,343.0527,2
P,343.8231,2
S,344.7362,1
S,345.5902,1
S,345.7561,2
S,346.30129999999997,2
S,347.1185,1
S,347.87800000000004,1
P,347.93870000000004,2
P,348.1155,2
S,348.3532,2
P,349.6206,2
S,350.5666,2
S,350.9321,1
P,351.9604,1
S,352.5808,2
S,353.3223,1
S,353.5159,1
S,354.26210000000003,2
P,354.7683,1
S,354.97310000000004,1
S,355.046,1
P,355.1951,2
P,355.6594,2
S,356.60990000000004,1
P,357.2468,2
P,357.579,1
P,357.6853,2
S,358.6293,1
S,358.79740000000004,2
S,360.1191,1
S,361.1891,2
S,361.3097,2
S,361.4772,2
S,362.38649999999996,1
S,363.4148,1
S,366.1202,1
P,366.3648,1
S,367.4715,2
S,369.8165,2
S,370.9269,2
S,374.5947,2
S,375.159,2
S,376.4389,1
S,376.6714,1
S,378.0534,1
S,379.1397,1
S,382.2413,1
P,383.5962,1
P,383.6761,2
S,384.3018,2
S,384.70079999999996,1
S,384.925,1
P,386.3872,1
S,386.4332,1
S,387.7595,1
S,387.90479999999997,1
S,388.5422,1
P,389.03159999999997,1
P,389.13800000000003,1
S,390.0512,1
S,392.1788,1
S,392.9529,1
S,395.822,2
S,396.6659,1
S,396.8256,1
S,397.3502,1
S,397.5294,1
S,399.1127,2
S,399.8965,2
S,400.7596,1
S,402.3977,1
S,402.4912,1
S,402.7201,1
S,402.8947,1
S,402.96750000000003,2
S,403.0032,1
S,403.5887,1
S,404.2219,1
S,404.357,1
S,404.456,1
S,404.5612,2
S,404.8666,2
S,405.0476,1
S,405.5027,1
S,405.5704,1
S,406.1523,1
S,406.4151,1
P,407.2698,1
S,407.4925,1
S,407.6524,1
S,407.8305,1
P,408.1209,1
S,410.8394,1
P,414.9198,2
S,415.264,1
S,416.12,2
S,416.6366,1
S,418.7559,1
S,419.476,1
S,420.1451,1
S,420.89799999999997,2
S,421.3863,1
P,422.775,1
S,423.6056,1
P,423.9309,1
S,424.0335,1
S,424.1197,1
S,424.1683,1
S,426.80150000000003,1
S,428.2198,1
S,429.4787,1
S,430.28779999999995,1
S,434.1127,1
S,434.7888,1
S,436.08000000000004,1
S,450.71090000000004,1
S,453.5742,1
S,455.3008,1
S,455.51239999999996,1
S,457.55129999999997,1
S,463.3982,1
P,468.7799,1
S,468.84499999999997,1
P,471.00739999999996,1
S,473.94750000000005,1
S,477.23130000000003,1
S,478.49210000000005,1
S,480.58720000000005,1
S,481.563,1
S,482.42879999999997,1
S,485.13620000000003,1
S,504.65829999999994,1
S,506.4904,1
S,507.82520000000005,1
P,612.7457,1
S,614.3201,1
P,709.7727,1
S,710.2922,1
P,716.9091999999999,1
P,807.0099,1
S,813.2984,1
S,821.2571,1
